,top_oil_temp,hot_spot_temp
2026-09-21 00:00:00,43.666666666666664,43.666666666666664
2026-09-21 00:15:00,45.89496791892337,48.42128203321412
2026-09-21 00:30:00,47.850870766473136,51.43802194776419
2026-09-21 00:45:00,49.57064406223723,53.54490769052158
2026-09-21 01:00:00,51.08572846898508,55.14491303910493
2026-09-21 01:15:00,52.42337919814282,56.438656815903165
2026-09-21 01:30:00,53.60722318586175,57.52980529683288
2026-09-21 01:45:00,54.65774209663848,58.47504273961368
2026-09-21 02:00:00,55.59269102847876,59.307833523409876
2026-09-21 02:15:00,56.42746147915058,60.04978332447082
2026-09-21 02:30:00,57.17539599360742,60.71612428861782
2026-09-21 02:45:00,57.84806092488572,61.31840879700047
2026-09-21 03:00:00,58.455482884498934,61.86587098588499
2026-09-21 03:15:00,59.0063537160585,62.36614710016343
2026-09-21 03:30:00,59.508208182376016,62.82568270205537
2026-09-21 03:45:00,59.96757799848525,63.249983049776034
2026-09-21 04:00:00,60.39012535946478,63.64378167027959
2026-09-21 04:15:00,60.780758692756564,64.01116359328054
2026-09-21 04:30:00,61.14373300129274,64.35566136387085
2026-09-21 04:45:00,61.482736848734774,64.68033316450926
2026-09-21 05:00:00,61.80096776505491,64.98782812381967
2026-09-21 05:15:00,62.1011976139683,65.28044179132235
2026-09-21 05:30:00,62.3858292585154,65.56016368874401
2026-09-21 05:45:00,62.656945683203006,65.82871827682392
2026-09-21 06:00:00,62.916352576902824,66.08760034837533
2026-09-21 06:15:00,63.1656152470252,66.33810565298965
2026-09-21 06:30:00,63.40609061960058,66.58135741810494
2026-09-21 06:45:00,63.638954979442964,66.81832932686942
2026-09-21 07:00:00,63.86522801748459,67.04986543116104
2026-09-21 07:15:00,64.08579367687904,67.27669741091842
2026-09-21 07:30:00,64.30141822402727,67.49945953453826
2026-09-21 07:45:00,64.51276591395093,67.71870162708268
2026-09-21 08:00:00,67.30508437194358,79.6656376308026
2026-09-21 08:15:00,69.64409288419904,85.49738498028267
2026-09-21 08:30:00,71.59683684531436,88.37319357960274
2026-09-21 08:45:00,73.2212309290711,89.79875105361533
2026-09-21 09:00:00,74.5672827015796,90.4967679246236
2026-09-21 09:15:00,75.67815374659426,90.81847041515967
2026-09-21 09:30:00,76.59107993543815,90.93819936201771
2026-09-21 09:45:00,77.33816959109213,90.94552622623648
2026-09-21 10:00:00,77.94709579673645,90.88893403814171
2026-09-21 10:15:00,78.44169693236302,90.79659706149641
2026-09-21 10:30:00,78.8424976447838,90.6863234206235
2026-09-21 10:45:00,79.16716082811134,90.57036198036009
2026-09-21 11:00:00,79.43087978034968,90.45776878084864
2026-09-21 11:15:00,79.64671847830192,90.3556081054432
2026-09-21 11:30:00,79.82590685259414,90.26959213779199
2026-09-21 11:45:00,79.97809702558278,90.2044459267875
2026-09-21 12:00:00,80.11158567847176,90.1641343338911
2026-09-21 12:15:00,80.23350702383655,90.15201659549662
2026-09-21 12:30:00,80.35000026181113,90.17096043167726
2026-09-21 12:45:00,80.46635488019425,90.22343158923033
2026-09-21 13:00:00,80.58713671005147,90.31156702139008
2026-09-21 13:15:00,80.71629725981565,90.43723618365642
2026-09-21 13:30:00,80.85726851442979,90.60209308674733
2026-09-21 13:45:00,81.01304509480143,90.80762081037228
2026-09-21 14:00:00,81.18625542073295,91.05516967935468
2026-09-21 14:15:00,81.33484926892554,91.30161598177153
2026-09-21 14:30:00,81.46680626053998,91.55404525995507
2026-09-21 14:45:00,81.58911428316149,91.81870871545297
2026-09-21 15:00:00,81.70791383842268,92.10114830544451
2026-09-21 15:15:00,81.82862293362959,92.40630478576341
2026-09-21 15:30:00,81.95604507703747,92.7386109441406
2026-09-21 15:45:00,82.09446259834179,93.10207197155356
2026-09-21 16:00:00,82.24771722312394,93.50033466403859
2026-09-21 16:15:00,82.41927957635617,93.93674692616882
2026-09-21 16:30:00,82.61230907036028,94.41440885579158
2026-09-21 16:45:00,82.82970544226411,94.93621652347713
2026-09-21 17:00:00,83.07415304104593,95.50489941597128
2026-09-21 17:15:00,83.34815882126206,96.12305238777448
2026-09-21 17:30:00,83.65408487653997,96.7931628562146
2026-09-21 17:45:00,83.99417623830465,97.51763388081487
2026-09-21 18:00:00,84.37058457175726,98.2988036854638
2026-09-21 18:15:00,82.18767695904498,87.56295802667394
2026-09-21 18:30:00,80.27569071064093,82.0402332243925
2026-09-21 18:45:00,78.59856649395985,79.03067557865488
2026-09-21 19:00:00,77.12504526602999,77.25217693382609
2026-09-21 19:15:00,75.82802924885723,76.09326923000911
2026-09-21 19:30:00,74.68402797309095,75.26005019282705
2026-09-21 19:45:00,73.6726780655204,74.60929929157233
2026-09-21 20:00:00,72.77632696346845,74.06955753698217
2026-09-21 20:15:00,71.97967204599934,73.60377040409888
2026-09-21 20:30:00,71.26944780473818,73.19157414391402
2026-09-21 20:45:00,70.63415465916795,72.82086995455548
2026-09-21 21:00:00,70.06382387260379,72.48379321097171
2026-09-21 21:15:00,69.54981376304656,72.17476552128731
2026-09-21 21:30:00,69.08463304287562,71.88953649053956
2026-09-21 21:45:00,68.66178767593287,71.62469806007799
2026-09-21 22:00:00,68.27564812131331,71.37742647183693
2026-09-21 22:15:00,67.92133424994117,71.14533556572549
2026-09-21 22:30:00,67.59461558129314,70.92638597050475
2026-09-21 22:45:00,67.29182480081857,70.7188235605638
2026-09-21 23:00:00,67.00978279010242,70.52113421939265
2026-09-21 23:15:00,66.7457336371703,70.33200845778754
2026-09-21 23:30:00,66.49728829835843,70.15031255261822
2026-09-21 23:45:00,66.26237576003363,69.97506438286561
